kernel,_Z6kernelv,invocation,0,interval_size,100000000
1,_Z6kernelv,9,0,13056,1,0,0,0,24,0,0,0
6,_Z6kernelv,48,0,132651,29,0,0,0,29,0,0,0
0,_Z6kernelv,1,0,13056,0,0,0,0,1,0,0,0
5,_Z6kernelv,30,0,13056,24,0,0,0,29,0,0,0
314,_Z6kernelv,7,0,13056,24,0,0,0,24,0,0,0
4,_Z6kernelv,4,0,13056,24,0,0,0,24,0,0,0
3,_Z6kernelv,21,0,1632,24,1,0,0,24,0,0,0
8,_Z6kernelv,2,0,13056,24,1,0,0,24,0,0,0
2,_Z6kernelv,8,0,13056,24,0,0,0,24,1,0,0
7,_Z6kernelv,1,0,13056,24,0,0,0,24,1,0,0
kernel,_Z6kernelv,invocation,1,interval_size,100000000
23,_Z6kernelv,10,9,450381,32,0,0,0,38,0,0,0
46,_Z6kernelv,11,35,16653,31,0,0,0,31,0,0,0
230,_Z6kernelv,12,66,132,25,0,0,0,25,0,0,0
198,_Z6kernelv,8,66,510,25,0,0,0,25,0,0,0
96,_Z6kernelv,1,47,1536,31,0,0,0,31,0,0,0
63,_Z6kernelv,1,47,768,31,0,0,0,31,0,0,0
32,_Z6kernelv,1,7,14048,31,0,0,0,31,0,1,0
184,_Z6kernelv,8,38,23538,31,0,0,0,31,0,0,0
239,_Z6kernelv,1,64,5,25,0,0,0,25,0,0,0
207,_Z6kernelv,5,64,1280,24,0,0,0,24,0,0,0
105,_Z6kernelv,1,45,768,31,0,0,0,31,0,0,0
232,_Z6kernelv,6,50,6,25,0,0,0,25,0,0,0
200,_Z6kernelv,1,50,51,25,0,0,0,25,0,0,0
26,_Z6kernelv,12,52,5555022,38,0,0,0,38,0,0,0
286,_Z6kernelv,1,41,155789,35,0,0,0,38,0,0,0
28,_Z6kernelv,1,36,452373,38,1,0,0,38,0,0,0
85,_Z6kernelv,28,62,4096,31,0,0,0,31,0,0,0
52,_Z6kernelv,4,62,3660,31,0,0,0,31,0,0,0
21,_Z6kernelv,56,22,8416,31,0,0,0,31,0,0,0
250,_Z6kernelv,1,46,512,25,0,0,0,25,1,0,0
77,_Z6kernelv,4,48,131,31,0,0,0,31,0,0,0
218,_Z6kernelv,4,46,512,24,0,0,0,25,0,0,0
4,__cuda_sm3x_div_rn_noftz_f32,1,37,10912,4,0,0,0,0,0,0,0
166,_Z6kernelv,40,39,17161,31,0,0,0,31,0,0,0
133,_Z6kernelv,40,39,16709,31,0,0,0,31,0,0,0
189,_Z6kernelv,1,65,5120,25,0,0,0,25,0,0,0
30,_Z6kernelv,1,20,495116,32,0,0,0,32,1,0,0
87,_Z6kernelv,1,46,256,31,0,0,0,31,0,0,0
54,_Z6kernelv,1,46,1536,31,0,0,0,31,0,0,0
23,_Z6kernelv,10,6,485214,32,0,0,0,38,0,0,0
175,_Z6kernelv,15,37,247,31,0,0,0,31,0,0,0
300,_Z6kernelv,2,42,262,25,0,0,0,25,0,0,0
142,_Z6kernelv,9,37,256,31,0,0,0,31,0,0,0
223,_Z6kernelv,12,49,72,25,0,0,0,25,0,0,0
63,_Z6kernelv,1,44,256,31,0,0,0,31,0,0,0
291,_Z6kernelv,1,68,1702971,35,0,0,0,35,1,0,0
191,_Z6kernelv,1,49,1792,25,0,0,0,25,1,0,0
32,_Z6kernelv,1,4,18752,31,0,0,0,31,0,1,0
277,_Z6kernelv,8,40,741,25,0,0,0,25,0,0,0
232,_Z6kernelv,6,47,6,25,0,0,0,25,0,0,0
200,_Z6kernelv,1,47,102,25,0,0,0,25,0,0,0
26,_Z6kernelv,12,49,4790339,38,0,0,0,38,0,0,0
293,_Z6kernelv,1,52,41376,30,0,0,0,30,0,1,0
75,_Z6kernelv,4,61,131,31,0,0,0,31,0,0,0
42,_Z6kernelv,7,61,2196,31,0,0,0,31,0,0,0
286,_Z6kernelv,1,38,25250,35,0,0,0,38,0,0,0
171,_Z6kernelv,1,66,768,31,0,0,0,31,0,0,0
1,__cuda_sm3x_div_rn_noftz_f32,10,50,193703,5,0,0,0,4,0,0,0
28,_Z6kernelv,1,33,450236,38,1,0,0,38,0,0,0
157,_Z6kernelv,1,38,256,31,0,0,0,31,0,0,0
123,_Z6kernelv,1,38,183,31,0,0,0,31,1,0,0
180,_Z6kernelv,7,64,159903,31,0,0,0,31,0,0,0
21,_Z6kernelv,56,19,10368,31,0,0,0,31,0,0,0
77,_Z6kernelv,4,45,393,31,0,0,0,31,0,0,0
305,_Z6kernelv,10,69,4454,25,0,0,0,25,0,0,0
44,_Z6kernelv,9,45,549,31,0,0,0,31,0,0,0
173,_Z6kernelv,1,50,256,31,0,0,0,31,1,0,0
133,_Z6kernelv,40,36,7424,31,0,0,0,31,0,0,0
30,_Z6kernelv,1,17,471903,32,0,0,0,32,1,0,0
282,_Z6kernelv,46,67,171136,28,0,0,0,31,0,0,0
182,_Z6kernelv,3,48,3968,31,0,0,0,31,0,0,0
23,_Z6kernelv,10,3,465180,32,0,0,0,38,0,0,0
307,_Z6kernelv,1,53,2048,25,0,0,0,25,0,0,0
24,_Z6kernelv,4,62,5820,38,0,0,0,38,0,0,0
268,_Z6kernelv,1,39,256,25,0,0,0,25,0,0,0
3,__cuda_sm20_sqrt_rn_f32,6,65,335452,4,0,0,0,4,0,0,0
223,_Z6kernelv,12,46,24,25,0,0,0,25,0,0,0
291,_Z6kernelv,1,65,283950,35,0,0,0,35,1,0,0
191,_Z6kernelv,1,46,512,25,0,0,0,25,1,0,0
32,_Z6kernelv,1,1,36126,31,0,0,0,31,0,1,0
284,_Z6kernelv,7,51,418146,35,0,0,0,35,0,0,0
33,_Z6kernelv,5,60,40323,31,0,1,0,31,0,0,0
162,_Z6kernelv,1,65,5632,31,0,0,0,31,0,0,0
129,_Z6kernelv,1,65,366,31,0,0,0,31,0,0,0
26,_Z6kernelv,12,46,4540884,38,0,0,0,38,0,0,0
293,_Z6kernelv,1,49,24786,30,0,0,0,30,0,1,0
147,_Z6kernelv,15,37,91,31,0,0,0,31,0,0,0
114,_Z6kernelv,63,37,33489,31,0,0,0,31,0,0,0
138,_Z6kernelv,40,63,181081,31,0,0,0,31,0,0,0
35,_Z6kernelv,1,44,928,31,0,0,0,31,0,0,0
1,__cuda_sm3x_div_rn_noftz_f32,10,47,130540,5,0,0,0,4,0,0,0
164,_Z6kernelv,5,49,1536,31,0,0,0,31,0,0,0
131,_Z6kernelv,5,49,256,31,0,0,0,31,0,0,0
28,_Z6kernelv,1,30,474221,38,1,0,0,38,0,0,0
21,_Z6kernelv,56,16,9728,31,0,0,0,31,0,0,0
250,_Z6kernelv,1,40,256,25,0,0,0,25,1,0,0
218,_Z6kernelv,4,40,256,24,0,0,0,25,0,0,0
273,_Z6kernelv,1,66,4864,25,0,0,0,25,0,0,0
173,_Z6kernelv,1,47,512,31,0,0,0,31,1,0,0
30,_Z6kernelv,1,14,465702,32,0,0,0,32,1,0,0
259,_Z6kernelv,10,38,20905,31,0,0,0,31,0,0,0
282,_Z6kernelv,46,64,320,28,0,0,0,31,0,0,0
23,_Z6kernelv,10,0,374514,32,0,0,0,38,0,0,0
307,_Z6kernelv,1,50,512,25,0,0,0,25,0,0,0
